INFO 2025-10-21 13:52:07,511 views ============================================================
INFO 2025-10-21 13:52:09,823 views    - Josefito perez: Tiene Excusa
INFO 2025-10-21 13:52:09,824 views    - Cristian Rodriguez: Ausente
INFO 2025-10-21 13:52:09,824 views    - Edward Ramirez: Presente
INFO 2025-10-21 13:52:09,825 views ============================================================
INFO 2025-10-21 13:52:54,674 views ============================================================
INFO 2025-10-21 13:52:55,045 views    - Josefito perez: Tiene Excusa
INFO 2025-10-21 13:52:55,046 views    - Cristian Rodriguez: Ausente
INFO 2025-10-21 13:52:55,046 views    - Edward Ramirez: Presente
INFO 2025-10-21 13:52:55,046 views ============================================================
INFO 2025-10-21 13:52:56,786 views ============================================================
INFO 2025-10-21 13:52:57,206 views    - Josefito perez: Tiene Excusa
INFO 2025-10-21 13:52:57,206 views    - Cristian Rodriguez: Ausente
INFO 2025-10-21 13:52:57,207 views    - Edward Ramirez: Presente
INFO 2025-10-21 13:52:57,207 views ============================================================
INFO 2025-10-21 13:52:57,210 views ============================================================
INFO 2025-10-21 13:52:57,607 views    - Josefito perez: Tiene Excusa
INFO 2025-10-21 13:52:57,607 views    - Cristian Rodriguez: Ausente
INFO 2025-10-21 13:52:57,608 views    - Edward Ramirez: Presente
INFO 2025-10-21 13:52:57,608 views ============================================================
INFO 2025-10-21 14:08:45,825 views ============================================================
INFO 2025-10-21 14:08:46,349 views    - Josefito perez: Tiene Excusa
INFO 2025-10-21 14:08:46,349 views    - Cristian Rodriguez: Ausente
INFO 2025-10-21 14:08:46,349 views    - Edward Ramirez: Presente
INFO 2025-10-21 14:08:46,349 views ============================================================
INFO 2025-10-21 14:10:56,261 views ============================================================
INFO 2025-10-21 14:10:56,513 views    - Josefito perez: Tiene Excusa
INFO 2025-10-21 14:10:56,513 views    - Cristian Rodriguez: Ausente
INFO 2025-10-21 14:10:56,514 views    - Edward Ramirez: Presente
INFO 2025-10-21 14:10:56,514 views ============================================================
INFO 2025-10-21 14:11:27,380 views ============================================================
INFO 2025-10-21 14:11:27,831 views    - Josefito perez: Tiene Excusa
INFO 2025-10-21 14:11:27,832 views    - Cristian Rodriguez: Ausente
INFO 2025-10-21 14:11:27,833 views    - Edward Ramirez: Presente
INFO 2025-10-21 14:11:27,833 views ============================================================
